rank,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
212,LeBron James,PG,36,LAL,9,9,32.7,8.8,18.2,.482,2.4,6.1,.400,6.3,12.1,.523,.549,4.2,5.8,.731,0.9,7.7,8.6,7.9,1.0,0.3,3.7,1.2,24.2
213,Isaiah Joe,SG,21,PHI,4,0,6.8,0.3,1.8,.143,0.0,1.3,.000,0.3,0.5,.500,.143,0.0,0.0,,0.3,1.0,1.3,1.0,0.3,0.3,0.3,1.3,0.5
214,Cameron Johnson,PF,24,PHO,8,0,22.5,4.6,9.1,.507,2.6,6.3,.420,2.0,2.9,.696,.651,1.3,1.3,1.000,0.3,2.5,2.8,1.0,0.8,0.4,0.5,1.1,13.1
215,James Johnson,PF,33,DAL,8,0,14.9,1.5,4.3,.353,0.5,1.6,.308,1.0,2.6,.381,.412,0.6,1.1,.556,0.5,2.5,3.0,1.9,1.4,0.3,0.9,1.8,4.1
216,Keldon Johnson,SF,21,SAS,8,8,29.9,5.1,11.5,.446,1.4,3.3,.423,3.8,8.3,.455,.505,2.3,2.6,.857,1.6,5.6,7.3,2.5,1.3,0.6,2.0,2.5,13.9
217,Stanley Johnson,PF,24,TOR,5,0,11.8,0.6,2.2,.273,0.2,1.2,.167,0.4,1.0,.400,.318,0.0,0.0,,0.8,2.2,3.0,1.0,1.2,0.2,0.6,1.2,1.4
218,Tyler Johnson,SG,28,BRK,4,0,7.5,0.8,1.8,.429,0.8,1.3,.600,0.0,0.5,.000,.643,0.0,0.0,,0.3,0.3,0.5,1.8,0.8,0.0,0.0,0.3,2.3
219,Nikola Jokić,C,25,DEN,8,8,36.5,9.5,16.5,.576,1.5,3.4,.444,8.0,13.1,.610,.621,5.4,6.9,.782,2.9,8.8,11.6,10.9,1.5,0.5,4.9,3.8,25.9
220,Damian Jones,C,25,PHO,4,0,7.5,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.8,0.8,1.5,0.0,0.3,0.5,0.5,1.8,0.5
221,Derrick Jones Jr.,SF,23,POR,8,8,29.3,2.1,6.0,.354,0.8,2.6,.286,1.4,3.4,.407,.417,1.4,2.5,.550,1.3,2.5,3.8,0.9,1.4,0.6,0.6,3.1,6.4
222,Tre Jones,PG,21,SAS,3,0,3.3,1.3,2.3,.571,0.0,0.0,,1.3,2.3,.571,.571,1.0,1.0,1.000,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,3.7
223,Tyus Jones,PG,24,MEM,8,5,25.9,3.3,7.9,.413,0.5,2.6,.190,2.8,5.3,.524,.444,0.4,0.6,.600,0.3,2.1,2.4,4.9,1.1,0.4,1.0,0.4,7.4
224,DeAndre Jordan,C,32,BRK,9,7,17.8,1.7,2.3,.714,0.0,0.0,,1.7,2.3,.714,.714,0.8,1.7,.467,1.4,5.8,7.2,1.8,0.2,1.4,1.9,2.9,4.1
225,Cory Joseph,PG,29,SAC,8,0,23.8,2.8,6.9,.400,0.6,2.4,.263,2.1,4.5,.472,.445,1.9,2.4,.789,0.5,2.3,2.8,2.6,0.8,0.5,1.4,3.3,8.0
226,Mfiondu Kabengele,PF,23,LAC,6,0,5.3,0.2,1.5,.111,0.2,1.0,.167,0.0,0.5,.000,.167,0.3,0.3,1.000,0.0,0.7,0.7,0.3,0.3,0.2,0.3,1.2,0.8
227,Frank Kaminsky,C,27,PHO,5,0,8.0,1.4,3.6,.389,0.2,0.8,.250,1.2,2.8,.429,.417,0.4,0.8,.500,1.0,0.8,1.8,0.8,0.0,0.2,0.2,0.6,3.4
228,Enes Kanter,C,28,POR,8,0,19.5,4.5,6.5,.692,0.0,0.0,,4.5,6.5,.692,.692,1.9,2.3,.833,3.4,5.6,9.0,0.5,0.5,0.4,1.0,1.9,10.9
229,Luke Kennard,SG,24,LAC,9,3,24.0,3.1,6.8,.459,1.4,3.2,.448,1.7,3.6,.469,.566,0.9,1.0,.889,0.1,2.8,2.9,1.8,0.3,0.1,1.4,1.7,8.6
230,Maxi Kleber,PF,29,DAL,8,2,24.4,2.1,4.5,.472,1.9,3.9,.484,0.3,0.6,.400,.681,1.6,1.8,.929,0.9,4.8,5.6,1.4,0.4,0.8,0.8,2.0,7.8
231,Nathan Knight,PF,23,ATL,4,0,4.3,1.0,2.0,.500,0.5,1.0,.500,0.5,1.0,.500,.625,1.0,1.3,.800,0.8,0.8,1.5,0.0,0.0,0.0,0.8,1.0,3.5
232,Kevin Knox,SF,21,NYK,8,0,21.4,2.5,5.8,.435,1.1,3.1,.360,1.4,2.6,.524,.533,0.5,0.8,.667,0.6,2.0,2.6,1.1,0.4,0.6,1.0,1.9,6.6
233,John Konchar,SG,24,MEM,5,0,19.6,2.0,4.6,.435,0.6,1.6,.375,1.4,3.0,.467,.500,1.2,1.2,1.000,1.0,3.6,4.6,2.8,1.4,0.4,0.2,1.2,5.8
234,Furkan Korkmaz,SG,23,PHI,3,0,18.3,2.0,8.0,.250,1.3,5.3,.250,0.7,2.7,.250,.333,0.7,0.7,1.000,0.0,2.0,2.0,1.0,0.7,0.7,2.0,0.7,6.0
235,Luke Kornet,PF,25,CHI,1,0,7.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
236,Rodions Kurucs,PF,22,BRK,4,0,3.5,0.3,0.8,.333,0.3,0.5,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.3,0.8
237,Kyle Kuzma,SF,25,LAL,9,4,26.6,4.4,10.1,.440,1.8,4.9,.364,2.7,5.2,.511,.527,0.4,0.7,.667,1.0,3.3,4.3,1.2,0.2,0.9,1.6,2.3,11.1
238,Zach LaVine,SG,25,CHI,9,9,34.1,8.7,18.9,.459,2.4,8.2,.297,6.2,10.7,.583,.524,4.9,5.7,.863,0.3,4.6,4.9,4.2,1.3,0.8,4.4,3.0,24.7
239,Jake Layman,SF,26,MIN,8,3,15.4,1.8,4.0,.438,0.3,1.5,.167,1.5,2.5,.600,.469,1.6,1.9,.867,0.0,0.9,0.9,0.8,0.9,0.5,0.5,1.6,5.4
240,Jalen Lecque,PG,20,IND,2,0,2.0,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.5,0.5,1.000,0.5,1.0,1.5,0.5,0.0,0.0,0.0,0.0,1.5
241,Damion Lee,SG,28,GSW,8,0,18.3,1.9,4.1,.455,1.8,3.5,.500,0.1,0.6,.200,.667,0.8,0.9,.857,0.5,3.5,4.0,1.5,0.6,0.0,0.3,1.9,6.3
242,Saben Lee,PG,21,DET,1,0,12.0,1.0,5.0,.200,0.0,1.0,.000,1.0,4.0,.250,.200,2.0,4.0,.500,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,4.0
243,Alex Len,C,27,TOR,5,0,12.4,1.0,1.8,.556,0.6,1.0,.600,0.4,0.8,.500,.722,0.6,1.2,.500,0.0,2.2,2.2,0.6,0.0,1.0,1.4,1.6,3.2
244,Kawhi Leonard,SF,29,LAC,7,7,34.1,8.4,18.7,.450,1.3,4.3,.300,7.1,14.4,.495,.485,4.9,5.7,.850,1.4,4.1,5.6,6.1,1.9,1.1,2.0,2.6,23.0
245,Meyers Leonard,C,28,MIA,2,2,11.0,1.5,3.0,.500,1.5,3.0,.500,0.0,0.0,,.750,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,0.5,2.5,4.5
246,Caris LeVert,SG,26,BRK,9,2,26.3,6.2,16.1,.386,1.2,4.8,.256,5.0,11.3,.441,.424,1.7,2.4,.682,0.7,3.6,4.2,6.0,1.4,0.7,2.0,1.6,15.3
247,Kira Lewis Jr.,PG,19,NOP,2,0,6.5,1.0,3.5,.286,0.0,1.0,.000,1.0,2.5,.400,.286,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,2.0
248,Damian Lillard,PG,30,POR,8,8,35.1,8.5,19.1,.444,4.1,10.8,.384,4.4,8.4,.522,.552,6.5,7.3,.897,0.3,4.5,4.8,6.6,0.9,0.3,2.8,1.4,27.6
249,Nassir Little,PF,20,POR,1,0,8.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
250,Kevon Looney,C,24,GSW,8,0,14.4,1.9,3.0,.625,0.0,0.3,.000,1.9,2.8,.682,.625,0.9,1.1,.778,1.1,2.0,3.1,1.9,0.4,0.1,0.8,2.0,4.6
251,Brook Lopez,C,32,MIL,8,8,23.4,3.4,7.0,.482,1.8,4.1,.424,1.6,2.9,.565,.607,1.0,1.0,1.000,1.6,2.5,4.1,0.9,0.5,1.4,0.8,2.4,9.5
252,Robin Lopez,C,32,WAS,8,0,15.5,2.1,3.9,.548,0.3,0.6,.400,1.9,3.3,.577,.581,1.1,2.0,.563,1.3,2.6,3.9,0.5,0.1,0.6,0.8,2.5,5.6
